"Ароматный и сказочный плод, Как оранжевый шарик блестящий, Без него не придёт Новый год, Он нам праздник несёт настоящий.",Мандарин
Кто на своей голове лес носит?,Олень
"С хозяином дружит, Дом сторожит, Живет под крылечком, Хвост колечком.",Собака
"Я красив, силен, могуч, Я грознее грозных туч, Я умнее всех, нет слов, — Много у меня голов.",Змей Горыныч
"У меня живет зверек, Толстобрюх и толстощек.",Хомяк
"Ходит, ходит-а в дом не заходит?",Дождь
Почти как барашек но без кудряшек.,Коза
"Мама - лошадь, а папа - осел. Какой же ребенок от пары пошел?",Мул
Катится нельзя взять,Еж
"Добрый старец с седой бородой Исполняет желанья заветные, Он приходит к нам только зимой И приносит подарки с конфетами.",Дед Мороз
Надо из 8 спичек сложить 3 квадрата. При этом спички ломать нельзя.,"Ломать спички нельзя, но про наложение спичек друг на друга ничего не указано. Поэтому получаем 2 квадрата со стороной в 1 спичку и один со стороной в половину спички. См. рисунок:"
Можете тоже проверить вы это - Жир у животного зеленого цвета.,Крокодил
"Они летят быстрее ветра, И я лечу с них на три метра. Вот мой полет закончен. Хлоп! Посадка мягкая в сугроб.",санки
"Уходя, просила мать Никому не открывать, Но открыли дети дверь! Обманул зубастый зверь — Песню мамину пропел. Кто потом козляток съел?",Волк
"Живет он там, где холода, И ловит рыбу из-под льда. Он в шубе белой щеголяет, Умеет плавать и ныряет.",Белый Медведь
"Если ты выбрал этот клуб, Значит ты должен сказать ""Красно синие цвета мы фанаты...""",ЦСКА
"Маленький, беленький, По лесочку прыг-прыг! По снежочку тык-тык!",Зайчик
"Желтый, круглый, ароматный И на вкус такой приятный! Только мама испечет, А он прыг и прямо в рот...",Блин
"Уж таков порядок древний — Я давно живу в деревне, Там будильником служу, Свой курятник сторожу.",Петух
"Друг за другом бегут огоньки - Жёлто-красные, сине-зелёные, И на ёлке мигают они, Светлячки озорные, весёлые.",Гирлянда
утором с тобой днем с тобой ночью с тобой только иногда не рядом но без них всегда грустно,родители
"Я королева из страны, Где нет ни лета, ни весны, Где круглый год метель метет, Где всюду только снег и лед.",Снежная королева
Найди чему равно О+бо+р+ав-ав+о+н-н+на=?,Оборона
"Не то чтобы я робкий сильно, Скорее так, на всякий случай, Ношу броню я из пластинок, - Живётся с ней намного лучше, - Врагам своим не по зубам, А потому и нет врагов. Знаком ли я, ребята, вам? Кто я такой, ответ готов?",Броненосец
"Если едешь ты в село Тебе крупно повезло Зелень, солнце, мошкара Что за чудная пора?",Лето
Задремлю я - и пою Песенку тебе свою. Но когда я на охоте - Неленивый я в работе.,Кот
"Тёплая Гармошка, на Гармошке — кошка.",Батарея
Если мяч попал туда все болельщики кричат:УРА!,Ворота
"Не кузнец, не плотник, а первый на селе работник.","Конь, лошадь"
Молодняк у волков Кто назвать мне готов?,Сеголетки
"Я модница такая, что всем на удивленье! Люблю я бусы, блестки – любые украшенья. Но на мою, поверьте, великую беду Наряд мне надевают всего лишь раз в году.",Ёлка.
"Рядом с дедушкой - внучка-краса, Хоровод завела с ребятишками, Со снежинками дружит она, Узнают её лисы с зайчишками.",Снегурочка
Какое государство можно носить на голове?,Панама
"У двух подруг было по одинаковой коробке конфет. В каждой - 12 штук. Первая съела несколько сладостей. Вторая съела столько, сколько осталось в коробке у подруги. Сколько конфет осталось у подруг на двоих после этого?",У подруг на двоих осталось 12 конфет.
"Как избавиться от скуки? — Надоели джинсы, брюки! Веселее стать мне Что поможет?",Платье
"Крепка как скала, но рушится от слова.",Тишина
Какой город высоко летает?,Орёл
"Кто умеет умываться Без водички - языком? И мяукать, и ласкаться, И гоняться за клубком?",Котенок
"Что сделал слон, когда пришел наполеон?",Стал жевать траву (на поле он)
Летом - сладкий и зеленый. В зиму - желтый и соленый.,Огурец
Кто на ветке шишки грыз и бросал объедки вниз?,Белка
"Этот милый, добрый зверь Лишь в Китае обитает. В Красной книге он теперь, И об этом каждый знает. Сочный стебель вкусно грызть В диких зарослях бамбука, Так давайте дружно жить И всегда беречь друг друга!",Панда
"На деревья, на кусты С неба падают цветы. Белые, пушистые, Только не душистые.",снежинки
На самом деле вовсе не милашка С видом кающегося грешника букашка.,Богомол
"Главной гостьей домой в Новый год Пригласим мы красавицу хвойную, И украсим игрушками вновь, И споём про метель новогоднюю.",Ёлка
"Я стучу без рук, хожу без ног и показываю без пальцев. Что я?",часы
Для голубцов вам будет в помощь Тугой хрустящий огородный овощ.,Капуста
"Как назвать нам эту птичку, Что похожа на синичку: Тем же ходом и размером, Только цветом - буро-серым?",Воробей
"Я не море и не речка, Я не озеро, не пруд, Но как утро или вечер - Люди все ко мне бегут.",Ванна
"Эта сказка не нова, В ней принцесса все спала. Феи злобной в том вина И укол веретена.",Спящая красавица
"Я - напиток из бобов. А какой, - сказать готов?",Какао
Его весной и летом Мы видели одетым. А осенью с бедняжки Сорвали все рубашки. Но зимние метели В меха его одели.,Дерево
Перед готовкой то и дело С нее мундир снимают смело.,Картошка
Какая птица носит название фрукта?,Киви
"Красная девица грустна, Ей не нравится весна, Ей на солнце тяжко! Слёзы льёт, бедняжка!",Снегурочка
"Рыжий, да не конь, Рогат, да не баран, Дома его не любят И на базаре не купят.",Таракан
Кружится маленькая льдинка. Сядет на ладошку - холодно немножко. И растает...,Снежинки
"Домик маленький, зеленый Был в руках у Люсеньки. Расколола - и упали На ладонь ей бусинки.",Горох
"Какой же овощ тот драчливый, До слез доводит всех подряд. А на вид такой красивый, Кругом ребята говорят.",Лук
"В огороде хоть росла, Знает ноты «Соль» и «Фа».",Фасоль
"Куда ни пойдешь, все на них взглянешь.",Ноги
Кто умеет приготовить Десять блюд из макарон? Кто в приготовленье пищи Ежедневно погружен? Без кого не может точно Детский сад и дня прожить И кого за это срочно Мы должны благодарить? Вам отгадывать пора. Это - наши... !,Повара
"Оно для каждого свое, И до него другим нет дела. С рожденья мне дано мое, И я о том не пожалела.",Имя
"На поле родился, На заводе варился, На столе растворился.",Сахар
Они порой грибной на пне растут гурьбой и взору грибника видны издалека.,Опята
"Весёлая работа, Завидно от души! Свисти, когда охота, Да палочкой маши!",Полицейский
Прилетели галки в поле И уселись на снегу… Буду я учиться в школе - Разобраться в них смогу.,Буквы
Каждый братец дом имеет. Дом его зимою греет.,Перчатка
"Этот маленький малыш Видом так похож на мышь. У мыши большие ушки, У него короткий хвост, За щеками носит сушки И имеет бОльший рост.",Хомяк
"Вот огромный шумный мир, В нем четыреста квартир, Пять подъездов, домофоны, Остекленные балконы.",Дом
"Я живу на дне морском, Мне, как многим, нужен дом, - Раковина иль ракушка, - Так спокойней потому что. В путешествиях своих Часто я таскаю их. Ну, друзья, кто даст ответ, - Знаете, кто я, иль нет?",Рак-отшельник
"У женщин есть один секрет: Вопрос-то есть, ответа нет.",Возраст
"Кто входит а окно, не раскрывая его?",Свет
В поле солнышко стоит?,Подсолнух
"Обитает он во льдах, В приполярных областях. В полушарии Северном Он живёт намеренно. Потому что толстой шкуре Не страшны ни снег, ни бури, Крупный хищник, белый мех, Запугал тюленей всех.",Белый Медведь
"Осенью летели к югу, Чтоб не встретить злую вьюгу. А весной снежок растаял, И вернулись наши стаи!",Перелетные птицы
"Чист и ясен, как алмаз, Дорог не бывает, Он от матери рожден И мать рождает.",лед
"В этом белом сундучище Мы храним на полках пищу. Во дворе стоит жара, А в сундучище - холода.",Холодильник
"Мордочка усатая, Шубка полосатая, Часто умывается, А с водой не знается.",Кот
Решите 50*50:5=? ДЛЯ ДЕТЕЙ.,Ответ равняется 500. Это легко
"Угадайте-ка, ребята: Кто же где-то и когда-то Все моря избороздил, С корабля сошел по трапу И в свою большую шляпу Лилипутов посадил?",Гулливер
Подумай немножко - Камышовая кошка.,Хаус
"Спортсмен, конечно, знает это - Одна шестая теннисного сета",Гейм
"Рисует художник Пейзаж на стекле, Но эта картина Погибнет в тепле.",Мороз
"Черепахе триста лет. Уж её и старше нет. И она-то рассказала Тайну, о которой знала И которую хранила, Буратино ключ вручила: «Вот он, ключик золотой. В город Счастья дверь открой. Я ж в пруду останусь тут». Черепаху как зовут?",Тортилла
"Не птичка, а с крыльями: Над цветами летает, нектар собирает.",Бабочка
